"DateTime","Players","Flags","Twitch Viewers"
"2016-03-15 00:00:00",,,136
"2016-03-16 00:00:00",,,106
"2016-03-17 00:00:00",,,166
"2016-03-18 00:00:00",,,256
"2016-03-19 00:00:00",,,132
"2016-03-20 00:00:00",,,103
"2016-03-21 00:00:00",,,8238
"2016-03-22 00:00:00",,,149
"2016-03-23 00:00:00",,,90
"2016-03-24 00:00:00",,,82
"2016-03-25 00:00:00",,,200
"2016-03-26 00:00:00",,,121
"2016-03-27 00:00:00",,,94
"2016-03-28 00:00:00",,,106
"2016-03-29 00:00:00",,,132
"2016-03-30 00:00:00",,,159
"2016-03-31 00:00:00",,,74
"2016-04-01 00:00:00",,,922
"2016-04-02 00:00:00",,,679
"2016-04-03 00:00:00",,,1038
"2016-04-04 00:00:00",,,111
"2016-04-05 00:00:00",,,148
"2016-04-06 00:00:00",,,132
"2016-04-07 00:00:00",,,83
"2016-04-08 00:00:00",,,216
"2016-04-09 00:00:00",,,93
"2016-04-10 00:00:00",,,120
"2016-04-11 00:00:00",,,93
"2016-04-12 00:00:00",,,308
"2016-04-13 00:00:00",,,133
"2016-04-14 00:00:00",,,92
"2016-04-15 00:00:00",,,212
"2016-04-16 00:00:00",,,172
"2016-04-17 00:00:00",,,108
"2016-04-18 00:00:00",,,57
"2016-04-19 00:00:00",,,130
"2016-04-20 00:00:00",,,102
"2016-04-21 00:00:00",,,90
"2016-04-22 00:00:00",,,222
"2016-04-23 00:00:00",,,95
"2016-04-24 00:00:00",,,133
"2016-04-25 00:00:00",,,102
"2016-04-26 00:00:00",,,89
"2016-04-27 00:00:00",,,145
"2016-04-28 00:00:00",,,90
"2016-04-29 00:00:00",,,127
"2016-04-30 00:00:00",,,1681
"2016-05-01 00:00:00",,,6037
"2016-05-02 00:00:00",,,513
"2016-05-03 00:00:00",,,388
"2016-05-04 00:00:00",,,813
"2016-05-05 00:00:00",,,106
"2016-05-06 00:00:00",,,908
"2016-05-07 00:00:00",,,904
"2016-05-08 00:00:00",,,1331
"2016-05-09 00:00:00",,,102
"2016-05-10 00:00:00",,,431
"2016-05-11 00:00:00",,,550
"2016-05-12 00:00:00",,,744
"2016-05-13 00:00:00",,,414
"2016-05-14 00:00:00",,,153
"2016-05-15 00:00:00",,,382
"2016-05-16 00:00:00",,,133
"2016-05-17 00:00:00",,,424
"2016-05-18 00:00:00",,,145
"2016-05-19 00:00:00",,,112
"2016-05-20 00:00:00",,,275
"2016-05-21 00:00:00",,,104
"2016-05-22 00:00:00",,,183
"2016-05-23 00:00:00",,,98
"2016-05-24 00:00:00",,,76
