"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-23 21:50:00",22686,14891.378602220882,8226
"2021-05-23 22:00:00",22429,14880.38603105611,7619
"2021-05-23 22:10:00",22311,14870.248610914274,7767
"2021-05-23 22:20:00",22144,14858.815881928029,7707
"2021-05-23 22:30:00",21831,14847.883303583072,7746
"2021-05-23 22:40:00",21658,14838.582438298585,7483
"2021-05-23 22:50:00",21471,14829.74918016975,7649
"2021-05-23 23:00:00",21259,14817.61706349206,6428
"2021-05-23 23:10:00",21064,14806.206797012785,6872
"2021-05-23 23:20:00",20984,14795.568355930332,6647
"2021-05-23 23:30:00",20791,14785.320457175922,6788
"2021-05-23 23:40:00",20728,14776.487544091706,6859
"2021-05-23 23:50:00",20644,14768.521446483679,6882
"2021-05-24 00:00:00",20495,14761.298693783063,7251
"2021-05-24 00:10:00",20479,14755.667410714277,7635
"2021-05-24 00:20:00",20460,14750.571869488529,7311
"2021-05-24 00:30:00",20423,14746.365575396818,7564
"2021-05-24 00:40:00",20432,14743.65750385802,7755
"2021-05-24 00:50:00",20433,14741.46747547398,7831
"2021-05-24 01:00:00",20420,14740.313905423276,7775
"2021-05-24 01:10:00",20420,14741.192570546733,7861
"2021-05-24 01:20:00",20438,14742.750675154319,7936
"2021-05-24 01:30:00",20567,14744.882502480155,7342
"2021-05-24 01:40:00",20616,14747.306106701933,7406
"2021-05-24 01:50:00",20652,14749.581548996906,7424
"2021-05-24 02:00:00",20613,14751.728050595231,7528
"2021-05-24 02:10:00",20511,14753.914641203697,6046
"2021-05-24 02:20:00",20524,14757.45750661375,6113
"2021-05-24 02:30:00",20507,14760.619895006606,6075
"2021-05-24 02:40:00",20253,14763.111579585533,6381
"2021-05-24 02:50:00",20105,14765.894131668863,6725
"2021-05-24 03:00:00",19805,14768.145833333327,7222
"2021-05-24 03:10:00",19492,14770.184262014984,7384
"2021-05-24 03:20:00",19221,14772.253499779536,7725
"2021-05-24 03:30:00",18892,14774.040798611106,7375
"2021-05-24 03:40:00",18661,14775.733493165779,7523
"2021-05-24 03:50:00",18204,14776.647913910929,7556
"2021-05-24 04:00:00",17828,14777.753472222217,5792
"2021-05-24 04:10:00",17372,14778.832561728392,5683
"2021-05-24 04:20:00",17081,14779.594135802465,5884
"2021-05-24 04:30:00",16565,14778.582651289678,5860
"2021-05-24 04:40:00",16124,14777.100639329805,5832
"2021-05-24 04:50:00",15553,14775.26447448192,5873
"2021-05-24 05:00:00",15107,14774.286458333328,5867
