"DateTime","Players","Players Trend","Twitch Viewers"
"2021-05-24 00:20:00",15810,16600.148313492064,46058
"2021-05-24 00:30:00",15339,16594.024181547615,39988
"2021-05-24 00:40:00",14941,16590.18557098765,41152
"2021-05-24 00:50:00",14642,16587.94516782407,40947
"2021-05-24 01:00:00",14301,16586.457837301583,40683
"2021-05-24 01:10:00",14005,16586.77122602513,40156
"2021-05-24 01:20:00",13855,16588.319761353614,39927
"2021-05-24 01:30:00",13673,16590.269861937828,40000
"2021-05-24 01:40:00",13551,16593.07242063492,39311
"2021-05-24 01:50:00",13394,16596.580488040123,38097
"2021-05-24 02:00:00",13258,16600.55406746031,36962
"2021-05-24 02:10:00",13030,16604.836268187824,37592
"2021-05-24 02:20:00",12801,16609.66145833333,36458
"2021-05-24 02:30:00",12663,16614.843832671955,25560
"2021-05-24 02:40:00",12579,16619.27430555555,24399
"2021-05-24 02:50:00",12412,16623.339809303347,22910
"2021-05-24 03:00:00",12199,16628.03356481481,22446
"2021-05-24 03:10:00",12013,16631.684007109783,22098
"2021-05-24 03:20:00",11887,16634.784611992938,21901
"2021-05-24 03:30:00",11719,16637.53602430555,21801
"2021-05-24 03:40:00",11496,16639.914654982356,22690
"2021-05-24 03:50:00",11284,16642.05374366181,24772
"2021-05-24 04:00:00",11084,16644.0736193783,25256
"2021-05-24 04:10:00",10870,16645.754629629628,26452
"2021-05-24 04:20:00",10676,16647.48886684303,25625
"2021-05-24 04:30:00",10628,16649.45517113095,24539
"2021-05-24 04:40:00",10532,16650.70163690476,24513
"2021-05-24 04:50:00",10317,16651.28433641975,20949
"2021-05-24 05:00:00",10255,16652.30307539682,19912
"2021-05-24 05:10:00",10123,16653.28501157407,21421
"2021-05-24 05:20:00",9945,16653.64718364197,22321
"2021-05-24 05:30:00",9858,16654.099247685182,21995
"2021-05-24 05:40:00",9728,16654.33333333333,21761
"2021-05-24 05:50:00",9604,16653.652440200614,21553
"2021-05-24 06:00:00",9543,16652.85569609788,21841
"2021-05-24 06:10:00",9422,16651.353980654756,21229
"2021-05-24 06:20:00",9427,16650.047536375656,19015
"2021-05-24 06:30:00",9444,16648.73394097222,18456
"2021-05-24 06:40:00",9474,16647.606123236328,18069
"2021-05-24 06:50:00",9418,16646.31024718915,18437
"2021-05-24 07:00:00",9464,16644.8912037037,18458
"2021-05-24 07:10:00",9426,16642.865575396823,18389
"2021-05-24 07:20:00",9562,16641.161086309523,18596
"2021-05-24 07:30:00",9725,16638.73991402116,18704
"2021-05-24 07:40:00",9879,16635.79475308642,16774
"2021-05-24 07:50:00",10039,16632.4013034612,17208
"2021-05-24 08:00:00",10203,16629.043898809527,19059
"2021-05-24 08:10:00",10368,16625.34201388889,19780
"2021-05-24 08:20:00",10599,16622.308586860672,20181
"2021-05-24 08:30:00",10760,16618.361090443126,20901
"2021-05-24 08:40:00",10951,16614.410066688713,21244
"2021-05-24 08:50:00",11134,16609.281442901236,22987
"2021-05-24 09:00:00",11269,16604.053488756614,22184
"2021-05-24 09:10:00",11508,16598.828042328045,21754
"2021-05-24 09:20:00",11780,16593.293829916227,21498
"2021-05-24 09:30:00",11978,16587.04985119048,20983
"2021-05-24 09:40:00",12240,16580.483906525576,21015
"2021-05-24 09:50:00",12423,16573.60799713404,21965
"2021-05-24 10:00:00",12648,16566.368923611113,21223
"2021-05-24 10:10:00",12897,16558.929336144185,22152
"2021-05-24 10:20:00",13216,16551.22172619048,23480
"2021-05-24 10:30:00",13514,16543.145109953708,24002
"2021-05-24 10:40:00",13748,16534.318176807763,23613
"2021-05-24 10:50:00",14067,16525.754691633603,24406
"2021-05-24 11:00:00",14212,16516.33333333334,24625
"2021-05-24 11:10:00",14446,16507.432146990745,22787
"2021-05-24 11:20:00",14727,16498.355365410058,22775
"2021-05-24 11:30:00",14973,16488.967716600535,22893
"2021-05-24 11:40:00",15243,16479.728257275136,22631
"2021-05-24 11:50:00",15508,16470.386608520726,24800
"2021-05-24 12:00:00",15888,16461.02538029101,25395
"2021-05-24 12:10:00",16044,16451.026048556,27064
"2021-05-24 12:20:00",16407,16442.319444444445,38837
"2021-05-24 12:30:00",16720,16433.494171626986,40719
"2021-05-24 12:40:00",16976,16425.190297067904,43939
"2021-05-24 12:50:00",17280,16418.257406029545,45938
"2021-05-24 13:00:00",17495,16411.78199404762,49011
"2021-05-24 13:10:00",17738,16405.809475584218,53560
"2021-05-24 13:20:00",17944,16400.025187389772,55743
"2021-05-24 13:30:00",18317,16394.650318287036,58126
"2021-05-24 13:40:00",18592,16388.903659611995,59881
"2021-05-24 13:50:00",18884,16383.13680831129,61336
"2021-05-24 14:00:00",19195,16378.008432539686,60916
"2021-05-24 14:10:00",19449,16373.731612378753,41891
"2021-05-24 14:20:00",19735,16368.707506613762,41610
"2021-05-24 14:30:00",19867,16363.654968584658,42144
"2021-05-24 14:40:00",20105,16359.507523148153,49226
"2021-05-24 14:50:00",20245,16355.716841655649,51559
"2021-05-24 15:00:00",20387,16352.661706349212,54339
"2021-05-24 15:10:00",20523,16350.552069554678,54520
"2021-05-24 15:20:00",20643,16348.910714285717,53827
"2021-05-24 15:30:00",20844,16347.484064980163,41519
"2021-05-24 15:40:00",20923,16345.902612433867,53158
"2021-05-24 15:50:00",21082,16344.367862654326,58640
"2021-05-24 16:00:00",21123,16341.43117559524,61735
